Country,Product,Flow,2021
Austria,"Crude, NGL and feedstocks",Total final consumption (PJ),0
Austria,"Crude, NGL and feedstocks",Industry (PJ),0
Austria,"Crude, NGL and feedstocks",Transport (PJ),0
Austria,"Crude, NGL and feedstocks",Residential (PJ),0
Austria,"Crude, NGL and feedstocks",Commercial and public services (PJ),0
Austria,"Crude, NGL and feedstocks",Other final consumption (PJ),0
Austria,Oil products,Production (PJ),0
Austria,Oil products,Imports (PJ),238.7724169
Austria,Oil products,Exports (PJ),-122.1076829
Austria,Oil products,Total energy supply (PJ),122.1170655
Austria,Oil products,"Electricity, CHP and heat plants (PJ)",-14.1984227
Austria,Oil products,"Oil refineries, transformation (PJ)",357.2784009
Austria,Oil products,Total final consumption (PJ),445.6739994
Austria,Oil products,Industry (PJ),13.5816317
Austria,Oil products,Transport (PJ),299.6665968
Austria,Oil products,Residential (PJ),43.15507675
Austria,Oil products,Commercial and public services (PJ),9.595391976
Austria,Oil products,Other final consumption (PJ),79.67530223
Austria,Natural gas,Production (PJ),23.84864919
Austria,Natural gas,Imports (PJ),165.148594
Austria,Natural gas,Exports (PJ),0
Austria,Natural gas,Total energy supply (PJ),323.7160952
Austria,Natural gas,"Electricity, CHP and heat plants (PJ)",-93.09163487
Austria,Natural gas,"Oil refineries, transformation (PJ)",0
Austria,Natural gas,Total final consumption (PJ),220.7733846
Austria,Natural gas,Industry (PJ),114.3210974
Austria,Natural gas,Transport (PJ),7.512019362
Austria,Natural gas,Residential (PJ),68.40998833
Austria,Natural gas,Commercial and public services (PJ),15.77880572
Austria,Natural gas,Other final consumption (PJ),14.75147804
Austria,Nuclear,Production (PJ),0
Austria,Nuclear,Imports (PJ),0
Austria,Nuclear,Exports (PJ),0
Austria,Nuclear,Total energy supply (PJ),0
Austria,Nuclear,"Electricity, CHP and heat plants (PJ)",0
Austria,Nuclear,"Oil refineries, transformation (PJ)",0
Austria,Nuclear,Total final consumption (PJ),0
Austria,Nuclear,Industry (PJ),0
Austria,Nuclear,Transport (PJ),0
Austria,Nuclear,Residential (PJ),0
Austria,Nuclear,Commercial and public services (PJ),0
Austria,Nuclear,Other final consumption (PJ),0
Austria,Renewables and waste,Production (PJ),459.2783362
Austria,Renewables and waste,Imports (PJ),32.84368754
Austria,Renewables and waste,Exports (PJ),-34.73363837
Austria,Renewables and waste,Total energy supply (PJ),457.874544
Austria,Renewables and waste,"Electricity, CHP and heat plants (PJ)",-274.7401732
Austria,Renewables and waste,"Oil refineries, transformation (PJ)",0
Austria,Renewables and waste,Total final consumption (PJ),180.8447146
Austria,Renewables and waste,Industry (PJ),62.76674296
Austria,Renewables and waste,Transport (PJ),19.04005915
Austria,Renewables and waste,Residential (PJ),85.01291957
Austria,Renewables and waste,Commercial and public services (PJ),6.617903101
Austria,Renewables and waste,Other final consumption (PJ),7.407098154
Austria,Electricity,Production (PJ),0
Austria,Electricity,Imports (PJ),95.17029315
Austria,Electricity,Exports (PJ),-68.01493444
Austria,Electricity,Total energy supply (PJ),27.15535871
Austria,Electricity,"Electricity, CHP and heat plants (PJ)",241.0271803
Austria,Electricity,"Oil refineries, transformation (PJ)",0
Austria,Electricity,Total final consumption (PJ),231.9938286
Austria,Electricity,Industry (PJ),99.846932
Austria,Electricity,Transport (PJ),11.59110975
Austria,Electricity,Residential (PJ),73.01950859
Austria,Electricity,Commercial and public services (PJ),42.71729238
Austria,Electricity,Other final consumption (PJ),4.818981679
Austria,Heat,Production (PJ),0.573633468
Austria,Heat,Imports (PJ),0
Austria,Heat,Exports (PJ),0
Austria,Heat,Total energy supply (PJ),0.573633468
Austria,Heat,"Electricity, CHP and heat plants (PJ)",91.35654122
Austria,Heat,"Oil refineries, transformation (PJ)",0
Austria,Heat,Total final consumption (PJ),78.46948708
Austria,Heat,Industry (PJ),10.26976823
Austria,Heat,Transport (PJ),0
Austria,Heat,Residential (PJ),38.96693697
Austria,Heat,Commercial and public services (PJ),28.68193717
Austria,Heat,Other final consumption (PJ),0.550840529
Belgium,"Coal, peat and oil shale",Production (PJ),1.471496915
