Country,Product,Flow,2021
Estonia,Oil products,"Oil refineries, transformation (PJ)",0
Estonia,Oil products,Total final consumption (PJ),41.38301784
Estonia,Oil products,Industry (PJ),1.552892494
Estonia,Oil products,Transport (PJ),32.16161596
Estonia,Oil products,Residential (PJ),0.198998604
Estonia,Oil products,Commercial and public services (PJ),0.882711418
Estonia,Oil products,Other final consumption (PJ),6.586799364
Estonia,Natural gas,Production (PJ),0
Estonia,Natural gas,Imports (PJ),17.50848166
Estonia,Natural gas,Exports (PJ),0
Estonia,Natural gas,Total energy supply (PJ),16.51229959
Estonia,Natural gas,"Electricity, CHP and heat plants (PJ)",-4.838328882
Estonia,Natural gas,"Oil refineries, transformation (PJ)",0
Estonia,Natural gas,Total final consumption (PJ),10.83128509
Estonia,Natural gas,Industry (PJ),4.130202838
Estonia,Natural gas,Transport (PJ),0.719999809
Estonia,Natural gas,Residential (PJ),2.524916729
Estonia,Natural gas,Commercial and public services (PJ),3.331922429
Estonia,Natural gas,Other final consumption (PJ),0.12424329
Estonia,Nuclear,Production (PJ),0
Estonia,Nuclear,Imports (PJ),0
Estonia,Nuclear,Exports (PJ),0
Estonia,Nuclear,Total energy supply (PJ),0
Estonia,Nuclear,"Electricity, CHP and heat plants (PJ)",0
Estonia,Nuclear,"Oil refineries, transformation (PJ)",0
Estonia,Nuclear,Total final consumption (PJ),0
Estonia,Nuclear,Industry (PJ),0
Estonia,Nuclear,Transport (PJ),0
Estonia,Nuclear,Residential (PJ),0
Estonia,Nuclear,Commercial and public services (PJ),0
Estonia,Nuclear,Other final consumption (PJ),0
Estonia,Renewables and waste,Production (PJ),82.83591336
Estonia,Renewables and waste,Imports (PJ),3.941461894
Estonia,Renewables and waste,Exports (PJ),-32.01439551
Estonia,Renewables and waste,Total energy supply (PJ),56.72497703
Estonia,Renewables and waste,"Electricity, CHP and heat plants (PJ)",-36.58956308
Estonia,Renewables and waste,"Oil refineries, transformation (PJ)",0
Estonia,Renewables and waste,Total final consumption (PJ),20.14452024
Estonia,Renewables and waste,Industry (PJ),0.712819447
Estonia,Renewables and waste,Transport (PJ),2.367694015
Estonia,Renewables and waste,Residential (PJ),16.2399315
Estonia,Renewables and waste,Commercial and public services (PJ),0.582781626
Estonia,Renewables and waste,Other final consumption (PJ),0.241302031
Estonia,Electricity,Production (PJ),0
Estonia,Electricity,Imports (PJ),26.39677754
Estonia,Electricity,Exports (PJ),-16.93225656
Estonia,Electricity,Total energy supply (PJ),9.464516795
Estonia,Electricity,"Electricity, CHP and heat plants (PJ)",25.9360537
Estonia,Electricity,"Oil refineries, transformation (PJ)",0
Estonia,Electricity,Total final consumption (PJ),28.38090625
Estonia,Electricity,Industry (PJ),7.954739968
Estonia,Electricity,Transport (PJ),0.107764045
Estonia,Electricity,Residential (PJ),8.024399946
Estonia,Electricity,Commercial and public services (PJ),11.72159974
Estonia,Electricity,Other final consumption (PJ),0.572402549
Estonia,Heat,Production (PJ),0
Estonia,Heat,Imports (PJ),0
Estonia,Heat,Exports (PJ),0
Estonia,Heat,Total energy supply (PJ),0
Estonia,Heat,"Electricity, CHP and heat plants (PJ)",22.72672496
Estonia,Heat,"Oil refineries, transformation (PJ)",0
Estonia,Heat,Total final consumption (PJ),20.06299906
Estonia,Heat,Industry (PJ),1.716998306
Estonia,Heat,Transport (PJ),0
Estonia,Heat,Residential (PJ),13.39999994
Estonia,Heat,Commercial and public services (PJ),4.876001708
Estonia,Heat,Other final consumption (PJ),0.069999109
Finland,"Coal, peat and oil shale",Production (PJ),10.2416413
Finland,"Coal, peat and oil shale",Imports (PJ),68.37071614
Finland,"Coal, peat and oil shale",Exports (PJ),-4.937623031
Finland,"Coal, peat and oil shale",Total energy supply (PJ),126.1192946
Finland,"Coal, peat and oil shale","Electricity, CHP and heat plants (PJ)",-73.85724959
Finland,"Coal, peat and oil shale","Oil refineries, transformation (PJ)",0
Finland,"Coal, peat and oil shale",Total final consumption (PJ),21.50255907
Finland,"Coal, peat and oil shale",Industry (PJ),20.02589145
Finland,"Coal, peat and oil shale",Transport (PJ),0
Finland,"Coal, peat and oil shale",Residential (PJ),0.135719309
Finland,"Coal, peat and oil shale",Commercial and public services (PJ),0.093960166
Finland,"Coal, peat and oil shale",Other final consumption (PJ),1.246988138
Finland,"Crude, NGL and feedstocks",Production (PJ),0
Finland,"Crude, NGL and feedstocks",Imports (PJ),360.1517012
Finland,"Crude, NGL and feedstocks",Exports (PJ),0
Finland,"Crude, NGL and feedstocks",Total energy supply (PJ),358.0046809
Finland,"Crude, NGL and feedstocks","Electricity, CHP and heat plants (PJ)",0
Finland,"Crude, NGL and feedstocks","Oil refineries, transformation (PJ)",-437.7931356
Finland,"Crude, NGL and feedstocks",Total final consumption (PJ),0
Finland,"Crude, NGL and feedstocks",Industry (PJ),0
Finland,"Crude, NGL and feedstocks",Transport (PJ),0
Finland,"Crude, NGL and feedstocks",Residential (PJ),0
Finland,"Crude, NGL and feedstocks",Commercial and public services (PJ),0
Finland,"Crude, NGL and feedstocks",Other final consumption (PJ),0
Finland,Oil products,Production (PJ),0
Finland,Oil products,Imports (PJ),216.5201987
Finland,Oil products,Exports (PJ),-275.9731983
Finland,Oil products,Total energy supply (PJ),-68.15620126
Finland,Oil products,"Electricity, CHP and heat plants (PJ)",-10.60770579
Finland,Oil products,"Oil refineries, transformation (PJ)",424.3714982
Finland,Oil products,Total final consumption (PJ),275.5914124
Finland,Oil products,Industry (PJ),41.40153605
Finland,Oil products,Transport (PJ),135.7596989
Finland,Oil products,Residential (PJ),9.931386863
Finland,Oil products,Commercial and public services (PJ),11.25018281
Finland,Oil products,Other final consumption (PJ),77.24861202
Finland,Natural gas,Production (PJ),0
Finland,Natural gas,Imports (PJ),88.82009823
Finland,Natural gas,Exports (PJ),0
Finland,Natural gas,Total energy supply (PJ),89.09909821
Finland,Natural gas,"Electricity, CHP and heat plants (PJ)",-39.60809934
Finland,Natural gas,"Oil refineries, transformation (PJ)",0
Finland,Natural gas,Total final consumption (PJ),34.18739914
Finland,Natural gas,Industry (PJ),28.83060206
Finland,Natural gas,Transport (PJ),0.950399413
Finland,Natural gas,Residential (PJ),1.172701746
Finland,Natural gas,Commercial and public services (PJ),1.229399392
Finland,Natural gas,Other final consumption (PJ),2.004300709
Finland,Nuclear,Production (PJ),257.4327291
Finland,Nuclear,Imports (PJ),0
Finland,Nuclear,Exports (PJ),0
Finland,Nuclear,Total energy supply (PJ),257.4327291
Finland,Nuclear,"Electricity, CHP and heat plants (PJ)",-257.4327291
Finland,Nuclear,"Oil refineries, transformation (PJ)",0
Finland,Nuclear,Total final consumption (PJ),0
Finland,Nuclear,Industry (PJ),0
Finland,Nuclear,Transport (PJ),0
Finland,Nuclear,Residential (PJ),0
Finland,Nuclear,Commercial and public services (PJ),0
Finland,Nuclear,Other final consumption (PJ),0
Finland,Renewables and waste,Production (PJ),534.7553414
Finland,Renewables and waste,Imports (PJ),26.13557984
Finland,Renewables and waste,Exports (PJ),-4.353899375
Finland,Renewables and waste,Total energy supply (PJ),556.5411082
Finland,Renewables and waste,"Electricity, CHP and heat plants (PJ)",-286.4951459
Finland,Renewables and waste,"Oil refineries, transformation (PJ)",0
Finland,Renewables and waste,Total final consumption (PJ),267.9345046
Finland,Renewables and waste,Industry (PJ),174.3876767
Finland,Renewables and waste,Transport (PJ),27.7466228
Finland,Renewables and waste,Residential (PJ),53.63382072
Finland,Renewables and waste,Commercial and public services (PJ),4.708374797
Finland,Renewables and waste,Other final consumption (PJ),7.457997082
Finland,Electricity,Production (PJ),0
Finland,Electricity,Imports (PJ),88.17119866
Finland,Electricity,Exports (PJ),-24.20639869
Finland,Electricity,Total energy supply (PJ),63.96479996
Finland,Electricity,"Electricity, CHP and heat plants (PJ)",258.7823985
Finland,Electricity,"Oil refineries, transformation (PJ)",0
Finland,Electricity,Total final consumption (PJ),295.5383994
Finland,Electricity,Industry (PJ),137.1744018
Finland,Electricity,Transport (PJ),3.337201984
Finland,Electricity,Residential (PJ),87.33959969
Finland,Electricity,Commercial and public services (PJ),61.74719854
Finland,Electricity,Other final consumption (PJ),5.940001566
Finland,Heat,Production (PJ),7.877598178
Finland,Heat,Imports (PJ),0
Finland,Heat,Exports (PJ),0
Finland,Heat,Total energy supply (PJ),7.877598178
Finland,Heat,"Electricity, CHP and heat plants (PJ)",183.5510035
Finland,Heat,"Oil refineries, transformation (PJ)",0
Finland,Heat,Total final consumption (PJ),172.3819985
Finland,Heat,Industry (PJ),52.36200067
Finland,Heat,Transport (PJ),0
Finland,Heat,Residential (PJ),70.87700161
Finland,Heat,Commercial and public services (PJ),47.03400041
Finland,Heat,Other final consumption (PJ),2.109000017
France,"Coal, peat and oil shale",Production (PJ),c
France,"Coal, peat and oil shale",Imports (PJ),260.4768551
France,"Coal, peat and oil shale",Exports (PJ),-0.178948019
France,"Coal, peat and oil shale",Total energy supply (PJ),355.9399856
France,"Coal, peat and oil shale","Electricity, CHP and heat plants (PJ)",-84.35875719
France,"Coal, peat and oil shale","Oil refineries, transformation (PJ)",0
France,"Coal, peat and oil shale",Total final consumption (PJ),125.2242698
France,"Coal, peat and oil shale",Industry (PJ),110.9396869
France,"Coal, peat and oil shale",Transport (PJ),0
France,"Coal, peat and oil shale",Residential (PJ),1.10812873
France,"Coal, peat and oil shale",Commercial and public services (PJ),1.540687972
France,"Coal, peat and oil shale",Other final consumption (PJ),11.63577453
France,"Crude, NGL and feedstocks",Production (PJ),33.79656973
France,"Crude, NGL and feedstocks",Imports (PJ),1453.412078
France,"Crude, NGL and feedstocks",Exports (PJ),-4.316653602
France,"Crude, NGL and feedstocks",Total energy supply (PJ),1493.238946
France,"Crude, NGL and feedstocks","Electricity, CHP and heat plants (PJ)",0
France,"Crude, NGL and feedstocks","Oil refineries, transformation (PJ)",-1561.75762
France,"Crude, NGL and feedstocks",Total final consumption (PJ),1.008047462
France,"Crude, NGL and feedstocks",Industry (PJ),1.008047462
France,"Crude, NGL and feedstocks",Transport (PJ),0
France,"Crude, NGL and feedstocks",Residential (PJ),0
France,"Crude, NGL and feedstocks",Commercial and public services (PJ),0
France,"Crude, NGL and feedstocks",Other final consumption (PJ),0
France,Oil products,Production (PJ),0
France,Oil products,Imports (PJ),1925.083644
France,Oil products,Exports (PJ),-527.9295135
France,Oil products,Total energy supply (PJ),1271.994861
France,Oil products,"Electricity, CHP and heat plants (PJ)",-61.02296169
France,Oil products,"Oil refineries, transformation (PJ)",1543.719918
France,Oil products,Total final consumption (PJ),2650.924964
France,Oil products,Industry (PJ),104.6224086
France,Oil products,Transport (PJ),1620.670543
France,Oil products,Residential (PJ),174.029676
France,Oil products,Commercial and public services (PJ),88.52469018
France,Oil products,Other final consumption (PJ),663.0776506
France,Natural gas,Production (PJ),0.836924573
France,Natural gas,Imports (PJ),1690.522486
France,Natural gas,Exports (PJ),-201.001096
France,Natural gas,Total energy supply (PJ),1549.490174
France,Natural gas,"Electricity, CHP and heat plants (PJ)",-263.6612389
France,Natural gas,"Oil refineries, transformation (PJ)",0
France,Natural gas,Total final consumption (PJ),1273.806347
France,Natural gas,Industry (PJ),441.6526618
France,Natural gas,Transport (PJ),11.39174689
France,Natural gas,Residential (PJ),494.9026492
France,Natural gas,Commercial and public services (PJ),265.6419135
France,Natural gas,Other final consumption (PJ),60.21737532
France,Nuclear,Production (PJ),4138.486823
France,Nuclear,Imports (PJ),0
France,Nuclear,Exports (PJ),0
France,Nuclear,Total energy supply (PJ),4138.486823
France,Nuclear,"Electricity, CHP and heat plants (PJ)",-4138.486823
France,Nuclear,"Oil refineries, transformation (PJ)",0
France,Nuclear,Total final consumption (PJ),0
France,Nuclear,Industry (PJ),0
France,Nuclear,Transport (PJ),0
France,Nuclear,Residential (PJ),0
France,Nuclear,Commercial and public services (PJ),0
France,Nuclear,Other final consumption (PJ),0
France,Renewables and waste,Production (PJ),1149.042951
France,Renewables and waste,Imports (PJ),90.33535976
France,Renewables and waste,Exports (PJ),-31.78083068
France,Renewables and waste,Total energy supply (PJ),1208.290262
France,Renewables and waste,"Electricity, CHP and heat plants (PJ)",-657.2789745
France,Renewables and waste,"Oil refineries, transformation (PJ)",0
France,Renewables and waste,Total final consumption (PJ),536.2624889
France,Renewables and waste,Industry (PJ),75.90842152
France,Renewables and waste,Transport (PJ),122.5550173
France,Renewables and waste,Residential (PJ),290.6728312
France,Renewables and waste,Commercial and public services (PJ),29.43731125
France,Renewables and waste,Other final consumption (PJ),17.68890762
France,Electricity,Production (PJ),0
France,Electricity,Imports (PJ),87.60402542
France,Electricity,Exports (PJ),-249.2161215
France,Electricity,Total energy supply (PJ),-161.6121003
France,Electricity,"Electricity, CHP and heat plants (PJ)",1983.428339
France,Electricity,"Oil refineries, transformation (PJ)",0
France,Electricity,Total final consumption (PJ),1559.058093
France,Electricity,Industry (PJ),405.8238403
France,Electricity,Transport (PJ),34.22683879
France,Electricity,Residential (PJ),611.1942305
France,Electricity,Commercial and public services (PJ),475.1453368
France,Electricity,Other final consumption (PJ),32.66784613
France,Heat,Production (PJ),1.220812265
France,Heat,Imports (PJ),0
France,Heat,Exports (PJ),0
France,Heat,Total energy supply (PJ),1.220812265
France,Heat,"Electricity, CHP and heat plants (PJ)",189.2744679
France,Heat,"Oil refineries, transformation (PJ)",0
France,Heat,Total final consumption (PJ),173.1981398
France,Heat,Industry (PJ),72.69218456
France,Heat,Transport (PJ),0
France,Heat,Residential (PJ),61.37947608
France,Heat,Commercial and public services (PJ),38.1649973
France,Heat,Other final consumption (PJ),0.961481873
Germany,"Coal, peat and oil shale",Production (PJ),1153.2
Germany,"Coal, peat and oil shale",Imports (PJ),1149.213739
Germany,"Coal, peat and oil shale",Exports (PJ),-70.48986915
Germany,"Coal, peat and oil shale",Total energy supply (PJ),2226.739406
Germany,"Coal, peat and oil shale","Electricity, CHP and heat plants (PJ)",-1633.47114
Germany,"Coal, peat and oil shale","Oil refineries, transformation (PJ)",0
Germany,"Coal, peat and oil shale",Total final consumption (PJ),257.1150263
Germany,"Coal, peat and oil shale",Industry (PJ),224.5484296
Germany,"Coal, peat and oil shale",Transport (PJ),0
Germany,"Coal, peat and oil shale",Residential (PJ),14.57479508
Germany,"Coal, peat and oil shale",Commercial and public services (PJ),0.033289247
Germany,"Coal, peat and oil shale",Other final consumption (PJ),17.95852079
Germany,"Crude, NGL and feedstocks",Production (PJ),123.4214002
Germany,"Crude, NGL and feedstocks",Imports (PJ),3455.486482
Germany,"Crude, NGL and feedstocks",Exports (PJ),0
Germany,"Crude, NGL and feedstocks",Total energy supply (PJ),3607.471241
Germany,"Crude, NGL and feedstocks","Electricity, CHP and heat plants (PJ)",0
Germany,"Crude, NGL and feedstocks","Oil refineries, transformation (PJ)",-4060.013149
Germany,"Crude, NGL and feedstocks",Total final consumption (PJ),0
Germany,"Crude, NGL and feedstocks",Industry (PJ),0
Germany,"Crude, NGL and feedstocks",Transport (PJ),0
Germany,"Crude, NGL and feedstocks",Residential (PJ),0
Germany,"Crude, NGL and feedstocks",Commercial and public services (PJ),0
Germany,"Crude, NGL and feedstocks",Other final consumption (PJ),0
Germany,Oil products,Production (PJ),0
Germany,Oil products,Imports (PJ),1571.891401
Germany,Oil products,Exports (PJ),-1064.479602
Germany,Oil products,Total energy supply (PJ),207.7287979
Germany,Oil products,"Electricity, CHP and heat plants (PJ)",-44.55140386
Germany,Oil products,"Oil refineries, transformation (PJ)",3993.711102
Germany,Oil products,Total final consumption (PJ),3701.894902
Germany,Oil products,Industry (PJ),149.1583004
Germany,Oil products,Transport (PJ),2013.8396
Germany,Oil products,Residential (PJ),330.8684014
Germany,Oil products,Commercial and public services (PJ),167.4238016
Germany,Oil products,Other final consumption (PJ),1040.604798
Germany,Natural gas,Production (PJ),161.91131
Germany,Natural gas,Imports (PJ),2930.470994
Germany,Natural gas,Exports (PJ),0
Germany,Natural gas,Total energy supply (PJ),3270.023781
Germany,Natural gas,"Electricity, CHP and heat plants (PJ)",-825.1029002
Germany,Natural gas,"Oil refineries, transformation (PJ)",0
Germany,Natural gas,Total final consumption (PJ),2500.159418
Germany,Natural gas,Industry (PJ),844.6139827
Germany,Natural gas,Transport (PJ),23.29328692
Germany,Natural gas,Residential (PJ),1052.063203
Germany,Natural gas,Commercial and public services (PJ),448.6734397
Germany,Natural gas,Other final consumption (PJ),131.5155062
Germany,Nuclear,Production (PJ),754.1454534
Germany,Nuclear,Imports (PJ),0
Germany,Nuclear,Exports (PJ),0
Germany,Nuclear,Total energy supply (PJ),754.1454534
Germany,Nuclear,"Electricity, CHP and heat plants (PJ)",-754.1454534
Germany,Nuclear,"Oil refineries, transformation (PJ)",0
Germany,Nuclear,Total final consumption (PJ),0
Germany,Nuclear,Industry (PJ),0
Germany,Nuclear,Transport (PJ),0
Germany,Nuclear,Residential (PJ),0
Germany,Nuclear,Commercial and public services (PJ),0
Germany,Nuclear,Other final consumption (PJ),0
Germany,Renewables and waste,Production (PJ),2063.500571
Germany,Renewables and waste,Imports (PJ),115.1369833
Germany,Renewables and waste,Exports (PJ),-122.4077299
Germany,Renewables and waste,Total energy supply (PJ),2056.229828
Germany,Renewables and waste,"Electricity, CHP and heat plants (PJ)",-1259.426208
Germany,Renewables and waste,"Oil refineries, transformation (PJ)",0
Germany,Renewables and waste,Total final consumption (PJ),740.7265919
Germany,Renewables and waste,Industry (PJ),173.542747
Germany,Renewables and waste,Transport (PJ),121.5949757
Germany,Renewables and waste,Residential (PJ),323.4907281
Germany,Renewables and waste,Commercial and public services (PJ),90.13705198
Germany,Renewables and waste,Other final consumption (PJ),31.96110173
Germany,Electricity,Production (PJ),0
Germany,Electricity,Imports (PJ),186.231598
Germany,Electricity,Exports (PJ),-253.1016017
Germany,Electricity,Total energy supply (PJ),-66.86999955
Germany,Electricity,"Electricity, CHP and heat plants (PJ)",2098.901518
Germany,Electricity,"Oil refineries, transformation (PJ)",0
Germany,Electricity,Total final consumption (PJ),1780.640999
Germany,Electricity,Industry (PJ),783.9539998
Germany,Electricity,Transport (PJ),46.32479836
Germany,Electricity,Residential (PJ),498.4956019
Germany,Electricity,Commercial and public services (PJ),434.4534006
Germany,Electricity,Other final consumption (PJ),17.41319846
Germany,Heat,Production (PJ),0.00219807
Germany,Heat,Imports (PJ),0
Germany,Heat,Exports (PJ),0
Germany,Heat,Total energy supply (PJ),0.00219807
Germany,Heat,"Electricity, CHP and heat plants (PJ)",469.5149994
Germany,Heat,"Oil refineries, transformation (PJ)",0
Germany,Heat,Total final consumption (PJ),417.5910008
Germany,Heat,Industry (PJ),177.2829996
Germany,Heat,Transport (PJ),0
Germany,Heat,Residential (PJ),182.5379988
Germany,Heat,Commercial and public services (PJ),57.76999812
Germany,Heat,Other final consumption (PJ),0
Greece,"Coal, peat and oil shale",Production (PJ),60.25411867
Greece,"Coal, peat and oil shale",Imports (PJ),6.875194522
Greece,"Coal, peat and oil shale",Exports (PJ),0
Greece,"Coal, peat and oil shale",Total energy supply (PJ),71.6328823
Greece,"Coal, peat and oil shale","Electricity, CHP and heat plants (PJ)",-64.17528296
Greece,"Coal, peat and oil shale","Oil refineries, transformation (PJ)",0
Greece,"Coal, peat and oil shale",Total final consumption (PJ),7.701903302
Greece,"Coal, peat and oil shale",Industry (PJ),7.508050276
Greece,"Coal, peat and oil shale",Transport (PJ),0
Greece,"Coal, peat and oil shale",Residential (PJ),0.135413672
Greece,"Coal, peat and oil shale",Commercial and public services (PJ),0
Greece,"Coal, peat and oil shale",Other final consumption (PJ),0.058435168
Greece,"Crude, NGL and feedstocks",Production (PJ),2.40059389
Greece,"Crude, NGL and feedstocks",Imports (PJ),1162.184006
Greece,"Crude, NGL and feedstocks",Exports (PJ),-2.39224541
Greece,"Crude, NGL and feedstocks",Total energy supply (PJ),1172.118278
Greece,"Crude, NGL and feedstocks","Electricity, CHP and heat plants (PJ)",0
Greece,"Crude, NGL and feedstocks","Oil refineries, transformation (PJ)",-1259.998745
Greece,"Crude, NGL and feedstocks",Total final consumption (PJ),0
Greece,"Crude, NGL and feedstocks",Industry (PJ),0
Greece,"Crude, NGL and feedstocks",Transport (PJ),0
Greece,"Crude, NGL and feedstocks",Residential (PJ),0
Greece,"Crude, NGL and feedstocks",Commercial and public services (PJ),0
Greece,"Crude, NGL and feedstocks",Other final consumption (PJ),0
Greece,Oil products,Production (PJ),0
Greece,Oil products,Imports (PJ),190.8104667
Greece,Oil products,Exports (PJ),-882.9565631
Greece,Oil products,Total energy supply (PJ),-775.7216415
Greece,Oil products,"Electricity, CHP and heat plants (PJ)",-47.66326808
Greece,Oil products,"Oil refineries, transformation (PJ)",1292.840955
Greece,Oil products,Total final consumption (PJ),329.9579231
Greece,Oil products,Industry (PJ),29.33141871
Greece,Oil products,Transport (PJ),220.901643
Greece,Oil products,Residential (PJ),47.78369301
Greece,Oil products,Commercial and public services (PJ),4.155415747
Greece,Oil products,Other final consumption (PJ),27.78574425
Greece,Natural gas,Production (PJ),0.169946399
Greece,Natural gas,Imports (PJ),227.3350339
Greece,Natural gas,Exports (PJ),-0.559863083
Greece,Natural gas,Total energy supply (PJ),228.1240991
Greece,Natural gas,"Electricity, CHP and heat plants (PJ)",-156.1185791
Greece,Natural gas,"Oil refineries, transformation (PJ)",0
Greece,Natural gas,Total final consumption (PJ),62.03787132
Greece,Natural gas,Industry (PJ),21.24448053
Greece,Natural gas,Transport (PJ),0.880751995
Greece,Natural gas,Residential (PJ),20.90512364
Greece,Natural gas,Commercial and public services (PJ),5.975426081
Greece,Natural gas,Other final consumption (PJ),13.03209326
Greece,Nuclear,Production (PJ),0
Greece,Nuclear,Imports (PJ),0
Greece,Nuclear,Exports (PJ),0
Greece,Nuclear,Total energy supply (PJ),0
Greece,Nuclear,"Electricity, CHP and heat plants (PJ)",0
Greece,Nuclear,"Oil refineries, transformation (PJ)",0
Greece,Nuclear,Total final consumption (PJ),0
Greece,Nuclear,Industry (PJ),0
Greece,Nuclear,Transport (PJ),0
Greece,Nuclear,Residential (PJ),0
Greece,Nuclear,Commercial and public services (PJ),0
Greece,Nuclear,Other final consumption (PJ),0
Greece,Renewables and waste,Production (PJ),135.9549796
Greece,Renewables and waste,Imports (PJ),7.34303174
Greece,Renewables and waste,Exports (PJ),-1.988562528
Greece,Renewables and waste,Total energy supply (PJ),141.5433109
Greece,Renewables and waste,"Electricity, CHP and heat plants (PJ)",-83.13657584
Greece,Renewables and waste,"Oil refineries, transformation (PJ)",0
Greece,Renewables and waste,Total final consumption (PJ),58.32421321
Greece,Renewables and waste,Industry (PJ),5.528330269
Greece,Renewables and waste,Transport (PJ),9.065422645
Greece,Renewables and waste,Residential (PJ),40.88361214
Greece,Renewables and waste,Commercial and public services (PJ),1.663143498
Greece,Renewables and waste,Other final consumption (PJ),1.18370047
Greece,Electricity,Production (PJ),0
Greece,Electricity,Imports (PJ),27.29160137
Greece,Electricity,Exports (PJ),-14.02920062
Greece,Electricity,Total energy supply (PJ),13.26240076
Greece,Electricity,"Electricity, CHP and heat plants (PJ)",196.7656621
Greece,Electricity,"Oil refineries, transformation (PJ)",0
Greece,Electricity,Total final consumption (PJ),177.2727755
Greece,Electricity,Industry (PJ),43.81370644
Greece,Electricity,Transport (PJ),0.700970803
Greece,Electricity,Residential (PJ),63.78825517
Greece,Electricity,Commercial and public services (PJ),59.57906416
Greece,Electricity,Other final consumption (PJ),9.390778873
Greece,Heat,Production (PJ),0
Greece,Heat,Imports (PJ),0
Greece,Heat,Exports (PJ),0
Greece,Heat,Total energy supply (PJ),0
Greece,Heat,"Electricity, CHP and heat plants (PJ)",1.970877485
Greece,Heat,"Oil refineries, transformation (PJ)",0
Greece,Heat,Total final consumption (PJ),1.497873755
Greece,Heat,Industry (PJ),0
Greece,Heat,Transport (PJ),0
Greece,Heat,Residential (PJ),1.497873755
Greece,Heat,Commercial and public services (PJ),0
Greece,Heat,Other final consumption (PJ),0
Hungary,"Coal, peat and oil shale",Production (PJ),32.36713341
Hungary,"Coal, peat and oil shale",Imports (PJ),36.27630251
Hungary,"Coal, peat and oil shale",Exports (PJ),-14.15268609
Hungary,"Coal, peat and oil shale",Total energy supply (PJ),57.54393186
Hungary,"Coal, peat and oil shale","Electricity, CHP and heat plants (PJ)",-36.56033921
Hungary,"Coal, peat and oil shale","Oil refineries, transformation (PJ)",0
Hungary,"Coal, peat and oil shale",Total final consumption (PJ),7.78065701
Hungary,"Coal, peat and oil shale",Industry (PJ),5.528954102
Hungary,"Coal, peat and oil shale",Transport (PJ),0
Hungary,"Coal, peat and oil shale",Residential (PJ),1.887216847
Hungary,"Coal, peat and oil shale",Commercial and public services (PJ),0.049994579
Hungary,"Coal, peat and oil shale",Other final consumption (PJ),0.314491482
Hungary,"Crude, NGL and feedstocks",Production (PJ),45.63820084
Hungary,"Crude, NGL and feedstocks",Imports (PJ),256.8610006
Hungary,"Crude, NGL and feedstocks",Exports (PJ),-6.270000955
Hungary,"Crude, NGL and feedstocks",Total energy supply (PJ),294.4676002
Hungary,"Crude, NGL and feedstocks","Electricity, CHP and heat plants (PJ)",0
Hungary,"Crude, NGL and feedstocks","Oil refineries, transformation (PJ)",-304.9731983
Hungary,"Crude, NGL and feedstocks",Total final consumption (PJ),0
Hungary,"Crude, NGL and feedstocks",Industry (PJ),0
Hungary,"Crude, NGL and feedstocks",Transport (PJ),0
Hungary,"Crude, NGL and feedstocks",Residential (PJ),0
Hungary,"Crude, NGL and feedstocks",Commercial and public services (PJ),0
Hungary,"Crude, NGL and feedstocks",Other final consumption (PJ),0
Hungary,Oil products,Production (PJ),0
Hungary,Oil products,Imports (PJ),155.5696017
Hungary,Oil products,Exports (PJ),-111.7520015
Hungary,Oil products,Total energy supply (PJ),39.31519918
Hungary,Oil products,"Electricity, CHP and heat plants (PJ)",-0.70904714
Hungary,Oil products,"Oil refineries, transformation (PJ)",305.325999
Hungary,Oil products,Total final consumption (PJ),320.2179986
Hungary,Oil products,Industry (PJ),30.5205997
Hungary,Oil products,Transport (PJ),186.3104019
Hungary,Oil products,Residential (PJ),3.081999776
Hungary,Oil products,Commercial and public services (PJ),1.27279976
Hungary,Oil products,Other final consumption (PJ),99.03220584
Hungary,Natural gas,Production (PJ),49.33710048
Hungary,Natural gas,Imports (PJ),261.5561996
Hungary,Natural gas,Exports (PJ),0
Hungary,Natural gas,Total energy supply (PJ),389.174402
Hungary,Natural gas,"Electricity, CHP and heat plants (PJ)",-97.91280206
Hungary,Natural gas,"Oil refineries, transformation (PJ)",0
Hungary,Natural gas,Total final consumption (PJ),277.4591983
Hungary,Natural gas,Industry (PJ),60.9894003
Hungary,Natural gas,Transport (PJ),1.428301699
Hungary,Natural gas,Residential (PJ),139.3937994
Hungary,Natural gas,Commercial and public services (PJ),46.56870039
Hungary,Natural gas,Other final consumption (PJ),29.07900072
Hungary,Nuclear,Production (PJ),174.8243641
Hungary,Nuclear,Imports (PJ),0
Hungary,Nuclear,Exports (PJ),0
Hungary,Nuclear,Total energy supply (PJ),174.8243641
Hungary,Nuclear,"Electricity, CHP and heat plants (PJ)",-174.8243641
Hungary,Nuclear,"Oil refineries, transformation (PJ)",0
Hungary,Nuclear,Total final consumption (PJ),0
Hungary,Nuclear,Industry (PJ),0
Hungary,Nuclear,Transport (PJ),0
Hungary,Nuclear,Residential (PJ),0
Hungary,Nuclear,Commercial and public services (PJ),0
Hungary,Nuclear,Other final consumption (PJ),0
Hungary,Renewables and waste,Production (PJ),152.1494927
Hungary,Renewables and waste,Imports (PJ),14.08979617
Hungary,Renewables and waste,Exports (PJ),-17.77510127
Hungary,Renewables and waste,Total energy supply (PJ),148.4798965
Hungary,Renewables and waste,"Electricity, CHP and heat plants (PJ)",-56.89419911
Hungary,Renewables and waste,"Oil refineries, transformation (PJ)",0
